Date purchased,Commission,Purchase price per share,Shares,Transaction type,Symbol
2016-07-05T18:20:57.341851Z,0.00,16.99000000,2.00000,buy,TWTR,
2016-07-05T18:21:54.659248Z,0.00,113.29990000,1.00000,buy,FB,
2016-07-05T18:23:57.353983Z,0.00,44.45990000,1.00000,buy,ARMH,
2016-07-05T18:42:24.879478Z,0.00,32.56990000,2.00000,buy,INTC,
2016-07-05T18:43:31.438444Z,0.00,12.28500000,1.00000,buy,FIT,
2016-07-06T14:44:47.097263Z,0.02,12.43010000,1.00000,sell,FIT,
2016-07-06T15:01:30.636516Z,0.02,115.36010000,1.00000,sell,FB,
2016-07-06T15:25:45.529672Z,0.02,17.23010000,2.00000,sell,TWTR,
2016-07-06T15:40:24.710668Z,0.02,32.71010000,2.00000,sell,INTC,
2016-07-06T16:06:56.991751Z,0.00,0.98980000,12.00000,buy,TRCH,
2016-07-07T12:47:52.790952Z,0.02,1.25000000,12.00000,sell,TRCH,
2016-07-07T13:31:18.675847Z,0.00,95.30990000,1.00000,buy,NFLX,
2016-07-07T13:45:08.721459Z,0.00,2.39000000,25.00000,buy,RLJE,
2016-07-07T15:37:35.604263Z,0.00,56.60990000,1.00000,buy,SBUX,
2016-07-07T17:20:14.321835Z,0.02,2.18000000,25.00000,sell,RLJE,
2016-07-07T17:21:27.617297Z,0.00,5.01990000,14.00000,buy,AMD,
2016-07-08T14:08:42.941423Z,0.02,45.03010000,1.00000,sell,ARMH,
2016-07-08T14:16:32.165642Z,0.00,1.09990000,40.00000,buy,TRCH,
2016-07-08T14:27:19.361898Z,0.00,1.09990000,4.00000,buy,TRCH,
2016-07-08T14:37:36.533498Z,0.02,5.03000000,14.00000,sell,AMD,
2016-07-08T14:39:15.816623Z,0.00,1.08900000,25.00000,buy,TRCH,
2016-07-08T14:40:03.634885Z,0.00,35.73990000,1.00000,buy,TWLO,
2016-07-08T14:47:53.898617Z,0.00,1.08990000,7.00000,buy,TRCH,
2016-07-08T15:14:44.456536Z,0.00,1.04990000,40.00000,buy,TRCH,
2016-07-08T17:24:28.548777Z,0.02,96.91010000,1.00000,sell,NFLX,
2016-07-08T17:25:14.797236Z,0.00,56.48990000,1.00000,buy,SBUX,
2016-07-08T17:25:30.195831Z,0.00,1.04000000,17.00000,buy,TRCH,
2016-07-11T13:33:04.235444Z,0.03,1.02000000,133.00000,sell,TRCH,
2016-07-11T13:35:58.088823Z,0.00,0.75000000,50.00000,buy,COOL,
2016-07-11T13:36:14.668645Z,0.00,17.73000000,3.00000,buy,TWTR,
2016-07-11T13:36:50.262770Z,0.02,56.75010000,2.00000,sell,SBUX,
2016-07-11T13:38:02.535133Z,0.00,95.66990000,1.00000,buy,NFLX,
2016-07-11T13:42:03.062135Z,0.00,17.70990000,5.00000,buy,TWTR,
2016-07-11T13:46:07.549234Z,0.02,37.30010000,1.00000,sell,TWLO,
2016-07-11T13:53:36.063536Z,0.00,1.04000000,7.00000,buy,TRCH,
2016-07-11T14:16:23.556103Z,0.02,1.11010000,39.00000,sell,TRCH,
2016-07-11T16:35:08.276617Z,0.00,5.06990000,8.00000,buy,AMD,
2016-07-12T03:25:45.623792Z,0.00,0.47700000,120.00000,buy,MSTX,
2016-07-12T13:30:40.187870Z,0.00,3.90000000,6.00000,buy,MGT,
2016-07-12T13:36:03.004092Z,0.02,0.76000000,50.00000,sell,COOL,
2016-07-12T13:39:49.830574Z,0.02,18.19080000,8.00000,sell,TWTR,
2016-07-12T13:40:26.167025Z,0.00,0.45934000,100.00000,buy,MSTX,
2016-07-12T13:41:35.705846Z,0.02,5.07010000,8.00000,sell,AMD,
2016-07-12T13:44:58.371839Z,0.00,0.46500000,50.00000,buy,MSTX,
2016-07-12T13:47:06.006916Z,0.00,94.38990000,1.00000,buy,NFLX,
2016-07-12T13:48:49.486182Z,0.00,0.45689000,50.00000,buy,MSTX,
2016-07-12T13:49:53.681981Z,0.00,0.43969000,40.00000,buy,MSTX,
2016-07-12T15:11:41.382072Z,0.00,0.44009000,40.00000,buy,MSTX,
2016-07-12T15:44:44.054024Z,0.00,0.57240000,60.00000,buy,PTX,
2016-07-12T16:02:40.927310Z,0.00,0.55155000,35.00000,buy,PTX,
2016-07-12T19:14:54.097654Z,0.00,0.44489000,90.00000,buy,MSTX,
2016-07-13T14:15:07.099330Z,0.02,96.36010000,2.00000,sell,NFLX,
2016-07-13T14:15:20.999413Z,0.00,0.52010000,150.00000,buy,PTX,
2016-07-13T14:19:34.855229Z,0.00,0.44530000,100.00000,buy,MSTX,
2016-07-13T16:28:15.504205Z,0.00,1.05990000,48.00000,buy,TRCH,
2016-07-13T16:29:34.486458Z,0.00,17.67990000,1.00000,buy,TWTR,
2016-07-14T13:44:14.124516Z,0.02,18.12220000,1.00000,sell,TWTR,
2016-07-14T14:25:59.702495Z,0.04,0.57543000,245.00000,sell,PTX,
